id;pagetitle;published;configuration_id;doors-count;generation;generation_name;is_restyle;mark_id;model_class;model_id;model;car-price
29265;"GENESIS G70 седан I";0;21207809;4;21207764;I;0;GENESIS;D;GENESIS_G70;G70;1600000
29267;"GENESIS G80 седан I";0;20846836;4;20846809;I;0;GENESIS;E;GENESIS_G80;G80;1750000
29269;"GENESIS G90 седан I";0;20846629;4;20846594;I;0;GENESIS;F;GENESIS_G90;G90;3000000
29272;"GMC Terrain внедорожник 5 дв. II";0;22481476;5;22481438;II;0;GMC;C;GMC_TERRAIN;Terrain;2090000
29276;"HAVAL H5 внедорожник 5 дв. I";0;21988044;5;21987659;I;0;HAVAL;J;HAVAL_H5;H5;1495000
29278;"HAVAL F7 внедорожник 5 дв. I";0;21569097;5;21569049;I;0;HAVAL;C;HAVAL_F7;F7;1700000
29280;"HAVAL F7x внедорожник 5 дв. I";0;21709901;5;21709866;I;0;HAVAL;C;HAVAL_F7X;F7x;1689000
29282;"HAVAL H2 внедорожник 5 дв. ";0;20536551;5;20536520;;0;HAVAL;B;HAVAL_H2;H2;1660000
29284;"HAVAL H6 внедорожник 5 дв. I";0;20468684;5;20190270;I;0;HAVAL;C;HAVAL_H6;H6;1100000
29286;"HAVAL H6 Coupe внедорожник 5 дв. I";0;21144053;5;21144022;I;0;HAVAL;C;HAVAL_H6_COUPE;"H6 Coupe";1419000
29289;"HONDA Grace седан I Рестайлинг";0;21041543;4;21041493;"I Рестайлинг";1;HONDA;B;HONDA_GRACE;Grace;895000
29291;"HONDA Jade хэтчбек 5 дв. I";0;21220422;5;21220345;I;0;HONDA;C;HONDA_JADE;Jade;950000
29293;"HONDA N-BOX микровэн II";0;21112340;5;21111813;II;0;HONDA;A;HONDA_N_BOX;N-BOX;710000
29295;"HONDA N-WGN хэтчбек 5 дв. I Рестайлинг";0;21563739;5;21563691;"I Рестайлинг";1;HONDA;A;HONDA_N_WGN;N-WGN;550000
29297;"HONDA Accord седан X";0;21121575;4;21121524;X;0;HONDA;D;HONDA_ACCORD;Accord;1550000
